,日期,开盘价,最高价,收盘价,最低价,成交量,价格变动,涨跌幅,5日均价,10日均价,20日均价,5日均量,10日均量,20日均量,换手率
0,2020-09-30,6.55,6.56,6.5,6.41,83233.22,-0.02,-0.31,6.504,6.751,6.944,114935.31,119560.76,135223.88,0.96
1,2020-09-29,6.38,6.64,6.52,6.38,130901.84,0.17,2.68,6.577999999999999,6.794,6.997999999999999,113895.87,120047.41,139668.46,1.5
2,2020-09-28,6.56,6.6,6.35,6.35,102477.48,-0.21,-3.2,6.654,6.845,7.057,112692.85,117773.73,141093.66,1.18
3,2020-09-25,6.62,6.65,6.56,6.51,93331.8,-0.03,-0.46,6.808,6.9110000000000005,7.122000000000001,119864.43,121066.93,144524.41,1.07
4,2020-09-24,6.82,6.85,6.59,6.55,164732.23,-0.28,-4.08,6.916,6.94,7.178,129765.74,127795.28,146598.91,1.89
5,2020-09-23,6.92,6.97,6.87,6.83,78035.98,-0.03,-0.43,6.997999999999999,6.9639999999999995,7.231,124186.2,134085.98,146850.98,0.9
6,2020-09-22,7.09,7.09,6.9,6.88,124886.75,-0.22,-3.09,7.01,6.995,7.265,126198.96,143532.64,156214.88,1.43
7,2020-09-21,7.13,7.22,7.12,7.07,138335.41,0.02,0.28,7.0360000000000005,7.042000000000001,7.31,122854.61,147440.61,166971.69,1.59
8,2020-09-18,7.0,7.11,7.1,6.94,142838.31,0.1,1.43,7.013999999999999,7.058,7.362,122269.42,149164.71,167507.75,1.64
9,2020-09-17,6.93,7.1,7.0,6.83,136834.55,0.07,1.01,6.9639999999999995,7.093999999999999,7.412000000000001,125824.83,147773.92,168149.48,1.57
10,2020-09-16,7.01,7.02,6.93,6.86,88099.77,-0.1,-1.42,6.93,7.1370000000000005,7.471,143985.76,150887.0,168744.62,1.01
11,2020-09-15,7.01,7.05,7.03,6.93,108165.0,0.02,0.28,6.98,7.202000000000001,7.541,160866.32,159289.51,176425.92,1.24
12,2020-09-14,6.87,7.03,7.01,6.84,135409.47,0.16,2.34,7.047999999999999,7.269,7.622999999999999,172026.61,164413.59,184746.03,1.56
13,2020-09-11,6.83,6.97,6.85,6.78,160615.36,0.02,0.29,7.102,7.332000000000001,7.7,176060.0,167981.89,190508.04,1.84
14,2020-09-10,7.23,7.33,6.83,6.78,227639.22,-0.35,-4.88,7.224,7.416,7.774,169723.01,165402.54,190312.86,2.61
15,2020-09-09,7.32,7.33,7.18,7.11,172502.55,-0.19,-2.58,7.343999999999999,7.497999999999999,7.843999999999999,157788.23,159615.98,186684.8,1.98
16,2020-09-08,7.29,7.39,7.37,7.18,163966.45,0.09,1.24,7.4239999999999995,7.534,7.902,157712.7,168897.13,191676.32,1.88
17,2020-09-07,7.49,7.57,7.28,7.26,155576.41,-0.18,-2.41,7.49,7.577999999999999,7.96,156800.57,186502.77,196680.06,1.79
18,2020-09-04,7.22,7.49,7.46,7.18,128930.44,0.03,0.4,7.562,7.665,8.037,159903.78,185850.79,200366.99,1.48
19,2020-09-03,7.6,7.63,7.43,7.39,167965.31,-0.15,-1.98,7.608,7.73,8.105,161082.06,188525.03,214373.75,1.93
20,2020-09-02,7.7,7.74,7.58,7.55,172124.91,-0.12,-1.56,7.652,7.805,8.195,161443.73,186602.25,241545.92,1.98
21,2020-09-01,7.66,7.79,7.7,7.56,159405.8,0.06,0.79,7.644,7.88,8.26,180081.55,193562.32,244670.1,1.83
22,2020-08-31,7.77,7.81,7.64,7.59,171092.44,-0.05,-0.65,7.666,7.976,8.32,216204.96,205078.48,252067.47,1.97
23,2020-08-28,7.68,7.7,7.69,7.53,134821.84,0.04,0.52,7.768,8.068,8.39,211797.81,213034.19,266138.35,1.55
24,2020-08-27,7.5,7.73,7.65,7.41,169773.66,0.11,1.46,7.852,8.131,8.44,215968.0,215223.17,274838.42,1.95
25,2020-08-26,7.81,7.87,7.54,7.5,265314.03,-0.27,-3.46,7.957999999999999,8.19,8.482999999999999,211760.76,213753.62,280319.27,3.05
26,2020-08-25,8.15,8.15,7.81,7.74,340022.81,-0.34,-4.17,8.116,8.269,8.541,207043.08,214455.5,284323.56,3.91
27,2020-08-24,8.12,8.22,8.15,7.92,149056.7,0.04,0.49,8.286,8.342,8.574,193952.0,206857.36,278843.23,1.71
28,2020-08-21,8.22,8.31,8.11,8.05,155672.78,-0.07,-0.86,8.368,8.408999999999999,8.588,214270.57,214883.18,285158.63,1.79
